anime_id,name,english_name,genres,studios,image_url,content,content_prep
3466,Kino no Tabi: The Beautiful World - Tou no Kuni - Free Lance,Kino's Journey: Tower Country,"Adventure, Fantasy, Suspense",A.C.G.T.,https://cdn.myanimelist.net/images/anime/11/62873.jpg,"Kino no Tabi: The Beautiful World - Tou no Kuni - Free Lance A.C.G.T. Adventure, Fantasy, Suspense","['kino', 'tabi', 'beauti', 'world', 'tou', 'kuni', 'free', 'lanc', 'adventur', 'fantasi', 'suspens']"
3467,Nogizaka Haruka no Himitsu,Haruka Nogizaka's Secret,"Comedy, Romance",Diomedéa,https://cdn.myanimelist.net/images/anime/11/56965.jpg,"Nogizaka Haruka no Himitsu Diomedéa Comedy, Romance","['nogizaka', 'haruka', 'himitsu', 'diomedéa', 'comedi', 'romanc']"
3470,Special A,Special A (S.A),"Comedy, Romance","Gonzo, AIC",https://cdn.myanimelist.net/images/anime/8/77363.jpg,"Special A Gonzo, AIC Comedy, Romance","['special', 'gonzo', 'aic', 'comedi', 'romanc']"
3480,Nayuta,Nayuta,"Action, Sci-Fi",Circus Production,https://cdn.myanimelist.net/images/anime/8/5787.jpg,"Nayuta Circus Production Action, Sci-Fi","['nayuta', 'circu', 'product', 'action', 'sci']"
3481,Grendizer: Getter Robo G - Great Mazinger Kessen! Daikaijuu,UNKNOWN,"Action, Sci-Fi",Toei Animation,https://cdn.myanimelist.net/images/anime/1125/99760.jpg,"Grendizer: Getter Robo G - Great Mazinger Kessen! Daikaijuu Toei Animation Action, Sci-Fi","['grendiz', 'getter', 'robo', 'great', 'mazing', 'kessen', 'daikaijuu', 'toei', 'anim', 'action', 'sci']"
3482,Madonna,UNKNOWN,"Comedy, Sports",Toei Animation,https://cdn.myanimelist.net/images/anime/2/67361.jpg,"Madonna Toei Animation Comedy, Sports","['madonna', 'toei', 'anim', 'comedi', 'sport']"
3483,Maison Ikkoku: Shiki Utsuriyuku Kisetsu no Naka de,UNKNOWN,"Comedy, Drama, Romance",Studio Deen,https://cdn.myanimelist.net/images/anime/11/30539.jpg,"Maison Ikkoku: Shiki Utsuriyuku Kisetsu no Naka de Studio Deen Comedy, Drama, Romance","['maison', 'ikkoku', 'shiki', 'utsuriyuku', 'kisetsu', 'naka', 'studio', 'deen', 'comedi', 'drama', 'romanc']"
3484,Maison Ikkoku: Prelude - Meguru Haru no Sakura no You ni...,"Maison Ikkoku: Prelude, When the Cherry Blossoms in the Springtime Return","Comedy, Drama, Romance",Studio Deen,https://cdn.myanimelist.net/images/anime/8/69245.jpg,"Maison Ikkoku: Prelude - Meguru Haru no Sakura no You ni... Studio Deen Comedy, Drama, Romance","['maison', 'ikkoku', 'prelud', 'meguru', 'haru', 'sakura', 'studio', 'deen', 'comedi', 'drama', 'romanc']"
3485,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Tachikoma na Hibi,Ghost in the Shell: Stand Alone Complex 2nd GIG - Tachikomatic Days,"Comedy, Sci-Fi",Production I.G,https://cdn.myanimelist.net/images/anime/7/5799.jpg,"Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Tachikoma na Hibi Production I.G Comedy, Sci-Fi","['koukaku', 'kidoutai', 'stand', 'alon', 'complex', 'gig', 'tachikoma', 'hibi', 'product', 'comedi', 'sci']"
3486,Yuusha Tokkyuu Might Gaine,UNKNOWN,"Action, Adventure, Sci-Fi",Sunrise,https://cdn.myanimelist.net/images/anime/1352/91072.jpg,"Yuusha Tokkyuu Might Gaine Sunrise Action, Adventure, Sci-Fi","['yuusha', 'tokkyuu', 'might', 'gain', 'sunris', 'action', 'adventur', 'sci']"
